UserID,Role
DGUZW3GF,Teacher
709VIEZR,Teacher
3HL9CGAH,Teacher
PGR0S7V8,Teacher
32SWQXZS,Teacher
PXN72C7Y,Teacher
BGJFWOU0,Admin
4IIB447E,Teacher
YV7Y7C3G,Staff
3KTK34CI,Teacher
3FD60H9W,Admin
KLPMU5HG,Teacher
7606N9I4,Admin
5SQ43KH2,Admin
HK80M5P9,Admin
34AIY4Q3,Teacher
JWRUB59Z,Teacher
8AI2BJLO,Staff
6FJ4TC3R,Teacher
HWUF6DXE,Teacher
QHRGLB22,Staff
3JEGB0O7,Teacher
09WA2P12,Teacher
IRFDMSZU,Teacher
0KKEOC9V,Teacher
S4TRRY6G,Admin
F99LHEMJ,Teacher
I0AZF17S,Teacher
Z5ALTIH2,Teacher
9F5EIBVQ,Teacher
6LT478PB,Teacher
3YO6RQC2,Teacher
6I9IU3BS,Teacher
TEZMK3JL,Teacher
BVBCR4TB,Teacher
THU8VWBR,Teacher
J9LL3HYN,Teacher
T86Z3UI1,Admin
Q9I0OHLS,Teacher
F6QLPBMZ,Teacher
0USFOB6R,Admin
OO30J5KP,Teacher
07MI6HWJ,Teacher
P1H01JKI,Teacher
LZ9TRTZS,Student
QRLKY52P,Student
9ZIOKM1Y,Student
JKHKB1AU,Student
8EJ2KSTV,Student
R5SO076V,Student
URJ7DTFV,Student
2KTIUFG6,Student
399KY63H,Student
6WZWHUEL,Student
K3IDM2BZ,Student
L5OMW5IZ,Student
K0055AJ5,Student
7GFUJI2E,Student
2464S9E7,Student
RZCLT8EN,Student
9UC1BGAT,Student
WBKELZPZ,Student
SICKB694,Student
T8HFYGEY,Student
RVNZEW60,Student
HVIAG3H6,Student
XRB5A8DF,Student
9KU46REG,Student
5EIQGXFS,Student
11NL4JRD,Student
NB4LEQ60,Student
SDMW6OX0,Student
QFLS1PXX,Student
DGAL2N7B,Student
G4S3Z5ZI,Student
R5EC4R0P,Student
MRNJFLN9,Student
NMFL3SZA,Student
MBWQSFTF,Student
HP6CSEGC,Student
SMP55HY1,Student
AEX84DGX,Student
VRU7JL51,Student
